'or', 1, 0, 2, 11, 0
'one', 1, 0, 3, 8, 0
'of', 1, 0, 3, 5, 0
'are', 1, 0, 2, 16, 0
'doing', 1, 0, 3, 13, 0
'my', 1, 0, 26, 33, 0
'them', 1, 0, 5, 7, 0
'some', 1, 0, 10, 16, 0
'nothing', 1, 0, 1, 4, 0
'not', 1, 0, 1, 2, 0
'the', 1, 0, 13, 23, 0
'films', 1, 0, 4, 23, 0
'But', 1, 1, 0, 9, 0
'why', 1, 0, 1, 7, 0
'the', 1, 0, 39, 42, 0
'is', 1, 0, 10, 18, 0
'anything', 1, 0, 5, 12, 0
'dangerous', 1, 0, 3, 4, 0
'-', 1, 0, 8, 23, 0
'for', 1, 0, 6, 9, 0
'as', 1, 0, 1, 23, 0
'score', 1, 0, 8, 9, 0
'novelty', 1, 0, 1, 8, 0
'write', 1, 0, 2, 11, 0
'you', 1, 0, 27, 33, 0
'is', 1, 0, 1, 4, 0
'could', 1, 0, 2, 14, 0
'about', 1, 0, 3, 8, 0
'and', 1, 0, 0, 12, 0
'subtle', 1, 0, 2, 3, 0
'realistic', 1, 0, 3, 4, 0
'to', 1, 0, 5, 26, 0
'He', 1, 1, 0, 6, 0
'with', 1, 0, 0, 8, 0
'but', 1, 0, 4, 22, 0
'The', 1, 1, 0, 12, 0
'Hunger', 1, 1, 5, 14, 0
"that's", 1, 0, 1, 5, 0
'theory', 1, 0, 21, 38, 0
'yourself', 1, 0, 11, 17, 0
'fairly', 1, 0, 1, 4, 0
'just', 1, 0, 1, 12, 0
'the', 1, 0, 9, 11, 0
'is', 1, 0, 4, 5, 0
'minute', 1, 0, 8, 16, 0
'the', 1, 0, 24, 26, 0
'by', 1, 0, 5, 8, 0
'role', 1, 0, 4, 9, 0
'a', 1, 0, 3, 13, 0
'lowest', 1, 0, 17, 18, 0
'"The', 1, 0, 0, 23, 0
"I've", 1, 1, 0, 12, 0
'and', 1, 0, 13, 17, 0
'"I', 1, 0, 0, 19, 0
'on', 1, 0, 5, 19, 0
'It', 1, 1, 0, 4, 0
'and', 1, 0, 5, 7, 0
'the', 1, 0, 5, 12, 0
'from', 1, 0, 13, 20, 0
