through, 1, 0, 2, 13, 0, 0, 0
Disney, 1, 1, 7, 21, 0, 0, 0
concentrate, 1, 0, 14, 27, 0, 1, 0
required, 1, 0, 5, 8, 0, 0, 0
role, 1, 0, 8, 9, 0, 0, 0
nearly, 1, 0, 17, 20, 0, 0, 0
Infidelity, 1, 1, 0, 1, 0, 0, 0
improvisation, 1, 0, 25, 26, 0, 1, 0
there, 1, 0, 4, 15, 0, 0, 0
again, 1, 0, 11, 12, 0, 0, 0
weave, 1, 0, 5, 14, 0, 0, 0
continued, 1, 0, 2, 9, 0, 0, 0
led, 1, 0, 0, 8, 0, 0, 0
call, 1, 0, 3, 7, 0, 0, 0
creating, 1, 0, 12, 29, 0, 0, 0
York, 1, 1, 5, 12, 0, 0, 0
hot, 1, 0, 6, 7, 0, 1, 0
ideas, 1, 0, 2, 11, 0, 0, 0
Gangs, 1, 1, 0, 8, 0, 0, 0
mission, 1, 0, 9, 17, 0, 0, 0
say, 1, 0, 1, 5, 0, 0, 0
CGI, 1, 1, 3, 4, 0, 0, 0
'Men, 1, 0, 8, 11, 0, 0, 0
she, 1, 0, 9, 11, 0, 0, 0
recently, 1, 0, 1, 10, 0, 0, 0
chemistry, 1, 0, 17, 18, 0, 1, 0
Clockwork, 1, 1, 1, 12, 0, 0, 0
realize, 1, 0, 1, 13, 0, 1, 0
swelling, 1, 0, 5, 11, 0, 1, 0
modern, 1, 0, 11, 20, 0, 0, 0
computer, 1, 0, 12, 27, 1, 0, 0
director, 1, 0, 2, 3, 0, 0, 0
call, 1, 0, 2, 8, 0, 0, 0
magnificent, 1, 0, 1, 13, 0, 0, 0
actually, 1, 0, 2, 10, 0, 0, 0
twist:, 1, 0, 1, 26, 0, 0, 0
lays, 1, 0, 4, 10, 0, 1, 0
whether, 1, 0, 0, 5, 0, 0, 0
part, 1, 0, 6, 11, 0, 0, 0
trying, 1, 0, 3, 10, 0, 0, 0
ending, 1, 0, 12, 36, 0, 0, 0
won't, 1, 0, 2, 18, 0, 0, 0
wasn't, 1, 0, 5, 14, 0, 0, 0
performance, 1, 0, 16, 19, 0, 0, 0
go, 1, 0, 0, 5, 0, 0, 0
fill, 1, 0, 10, 14, 0, 0, 0
several, 1, 0, 16, 18, 0, 0, 0
rent, 1, 0, 0, 3, 0, 0, 0
concept, 1, 0, 15, 16, 0, 0, 0
feel, 1, 0, 2, 18, 0, 0, 0
first, 1, 0, 2, 4, 0, 0, 0
old, 1, 0, 1, 10, 1, 0, 0
classic, 1, 0, 9, 13, 0, 0, 0
further, 1, 0, 2, 4, 0, 1, 0
reboot, 1, 0, 1, 25, 0, 0, 0
than, 1, 0, 9, 13, 0, 0, 0
equal, 1, 0, 3, 11, 0, 0, 0
laugh, 1, 0, 0, 5, 1, 0, 0
mind, 1, 0, 4, 5, 0, 0, 0
face, 1, 0, 1, 3, 0, 0, 0
disappointment, 1, 0, 3, 8, 0, 0, 0
see, 1, 0, 7, 10, 0, 0, 0
thought, 1, 0, 2, 13, 0, 0, 0
dislike, 1, 0, 37, 41, 0, 0, 0
work, 1, 0, 5, 11, 0, 0, 0
effects, 1, 0, 1, 4, 0, 0, 0
yet, 1, 0, 13, 20, 0, 1, 0
(Clint, 1, 0, 5, 11, 0, 0, 0
casting, 1, 0, 2, 3, 0, 0, 0
takes, 1, 0, 8, 11, 0, 0, 0
stunts, 1, 0, 23, 27, 1, 0, 0
while, 1, 0, 9, 20, 0, 0, 0
cool, 1, 0, 10, 20, 0, 0, 0
boasted, 1, 0, 1, 5, 0, 0, 0
There, 1, 1, 0, 17, 0, 0, 0
find, 1, 0, 8, 15, 0, 0, 0
selection, 1, 0, 14, 15, 0, 0, 0
(or, 1, 0, 0, 16, 0, 0, 0
finally, 1, 0, 1, 5, 0, 0, 0
sometimes, 1, 0, 3, 6, 0, 1, 0
mesmerizing, 1, 0, 3, 15, 0, 0, 0
any, 1, 0, 5, 10, 0, 0, 0
others, 1, 0, 5, 6, 0, 0, 0
material, 1, 0, 8, 9, 0, 0, 0
comments, 1, 0, 4, 21, 0, 0, 0
father, 1, 0, 7, 8, 0, 0, 0
little, 1, 0, 4, 6, 0, 0, 0
viewer, 1, 0, 16, 23, 0, 0, 0
Ralston, 1, 1, 1, 5, 0, 0, 0
'De, 1, 0, 3, 5, 0, 0, 0
done, 1, 0, 8, 9, 0, 0, 0
Sci-Fi, 1, 1, 7, 9, 0, 0, 0
well, 1, 0, 4, 6, 0, 1, 0
ranks, 1, 0, 1, 11, 0, 0, 0
already, 1, 0, 8, 17, 0, 0, 0
rage, 1, 0, 10, 15, 1, 0, 0
top, 1, 0, 6, 14, 0, 0, 0
maintains, 1, 0, 4, 8, 0, 0, 0
totally, 1, 0, 1, 15, 0, 0, 0
space, 1, 0, 5, 10, 0, 0, 0
booby-traps, 1, 0, 5, 11, 0, 0, 0
used, 1, 0, 2, 7, 0, 0, 0
thankful, 1, 0, 2, 5, 0, 0, 0
see, 1, 0, 6, 18, 0, 0, 0
now, 1, 0, 21, 22, 0, 0, 0
pretty, 1, 0, 4, 18, 0, 0, 0
Either, 1, 1, 0, 6, 0, 0, 0
glimmer, 1, 0, 14, 21, 0, 0, 0
distracts, 1, 0, 5, 10, 0, 1, 0
these, 1, 0, 5, 19, 0, 0, 0
check, 1, 0, 2, 5, 0, 0, 0
arrive, 1, 0, 2, 15, 0, 0, 0
behaviors, 1, 0, 3, 8, 0, 1, 0
sly, 1, 0, 6, 19, 0, 1, 0
shark, 1, 0, 7, 8, 0, 0, 0
plays, 1, 0, 19, 28, 0, 1, 0
reminiscent, 1, 0, 6, 36, 0, 0, 0
replaced, 1, 0, 4, 8, 0, 0, 0
think, 1, 0, 3, 8, 0, 0, 0
too, 1, 0, 3, 5, 0, 1, 0
i've, 1, 0, 4, 9, 0, 0, 0
drive, 1, 0, 5, 12, 0, 0, 0
well-written, 1, 0, 3, 6, 1, 1, 0
looked, 1, 0, 20, 41, 0, 0, 0
am, 1, 0, 1, 35, 0, 0, 0
seems, 1, 0, 2, 8, 0, 0, 0
awesome, 1, 0, 1, 2, 0, 0, 0
bond, 1, 0, 2, 3, 0, 0, 0
(budget, 1, 0, 4, 11, 0, 0, 0
simple, 1, 0, 1, 10, 0, 0, 0
starts, 1, 0, 2, 7, 0, 0, 0
narrative, 1, 0, 9, 15, 0, 0, 0
point, 1, 0, 3, 10, 0, 0, 0
their, 1, 0, 10, 14, 0, 1, 0
decision, 1, 0, 9, 13, 0, 0, 0
did), 1, 0, 11, 12, 0, 0, 0
pain, 1, 0, 9, 10, 0, 0, 0
checking, 1, 0, 6, 8, 0, 0, 0
original, 1, 0, 8, 13, 0, 0, 0
up, 1, 0, 6, 13, 0, 0, 0
these, 1, 0, 2, 10, 0, 0, 0
rocky, 1, 0, 9, 22, 0, 0, 0
complex, 1, 0, 2, 3, 0, 1, 0
expect, 1, 0, 16, 17, 0, 0, 0
liked, 1, 0, 5, 12, 0, 0, 0
aloof, 1, 0, 7, 10, 0, 0, 0
angst, 1, 0, 10, 16, 1, 0, 0
extraordinary, 1, 0, 4, 6, 0, 0, 0
last, 1, 0, 8, 25, 0, 0, 0
warmth, 1, 0, 9, 12, 1, 0, 0
Little, 1, 1, 0, 9, 0, 0, 0
going, 1, 0, 7, 10, 0, 0, 0
rambles, 1, 0, 2, 13, 0, 0, 0
applaud, 1, 0, 1, 4, 0, 0, 0
big, 1, 0, 11, 13, 0, 0, 0
these, 1, 0, 2, 9, 0, 0, 0
action, 1, 0, 5, 10, 0, 0, 0
focuses, 1, 0, 2, 14, 0, 0, 0
recent, 1, 0, 5, 7, 0, 0, 0
mystery, 1, 0, 6, 11, 0, 0, 0
danger, 1, 0, 6, 7, 0, 0, 0
steal, 1, 0, 14, 21, 0, 0, 0
too, 1, 0, 3, 31, 0, 0, 0
vowed, 1, 0, 3, 17, 0, 0, 0
special, 1, 0, 10, 12, 0, 0, 0
must, 1, 0, 1, 12, 0, 0, 0
mostly, 1, 0, 4, 7, 0, 1, 0
directing, 1, 0, 1, 6, 0, 0, 0
they're, 1, 0, 1, 12, 0, 0, 0
modern, 1, 0, 7, 27, 0, 0, 0
