the : 18250
and : 9653
a : 9599
of : 9158
to : 8452
is : 6990
in : 5227
that : 4693
it : 3962
I : 3880
this : 3398
as : 3097
film : 2975
for : 2772
with : 2420
was : 2355
movie : 2270
you : 2039
have : 1904
be : 1781
on : 1774
but : 1771
his : 1768
The : 1765
are : 1735
not : 1651
all : 1486
an : 1323
one : 1297
he : 1202
at : 1199
more : 1195
has : 1192
by : 1170
about : 1133
so : 1091
from : 1045
like : 1023
just : 930
very : 919
great : 893
my : 888
or : 887
some : 878
what : 864
time : 858
out : 844
who : 840
story : 829
they : 797
can : 775
will : 773
see : 746
than : 730
good : 727
were : 713
been : 690
best : 679
their : 677
it's : 660
up : 658
into : 643
films : 635
most : 635
only : 633
me : 623
first : 622
character : 620
think : 617
had : 600
really : 599
if : 595
other : 592
much : 590
when : 586
also : 577
- : 567
would : 565
way : 557
well : 556
there : 546
we : 545
which : 542
even : 541
could : 540
its : 533
action : 532
because : 516
seen : 491
him : 487
people : 486
make : 485
her : 459
them : 456
do : 447
get : 444
It : 435
say : 432
characters : 425
many : 424
don't : 422
scenes : 420
does : 411
never : 409
too : 407
any : 407
how : 405
little : 397
movies : 396
lot : 369
still : 365
ever : 362
This : 362
being : 357
no : 351
did : 349
your : 341
made : 340
watch : 337
plot : 334
where : 329
something : 316
every : 310
performance : 307
off : 306
actors : 303
after : 303
acting : 299
makes : 298
life : 295
know : 295
love : 291
few : 291
go : 285
feel : 280
such : 279
show : 275
over : 275
better : 273
two : 272
cast : 271
scene : 270
long : 270
I'm : 268
It's : 267
may : 266
end : 266
real : 265
anything : 264
quite : 263
new : 263
those : 263
look : 262
perfect : 260
didn't : 257
back : 255
through : 253
these : 252
own : 252
role : 250
going : 250
should : 249
isn't : 246
take : 242
while : 240
actually : 239
effects : 237
find : 235
want : 234
enough : 234
then : 232
screen : 231
almost : 231
seems : 229
give : 227
fun : 227
here : 226
part : 226
us : 225
doesn't : 225
big : 222
If : 220
audience : 218
nothing : 218
watching : 218
fact : 217
without : 216
read : 213
He : 213
same : 212
But : 212
times : 211
before : 211
three : 211
special : 210
saw : 209
both : 209
she : 209
things : 208
And : 207
can't : 205
bit : 205
world : 201
book : 200
always : 199
another : 199
again : 199
job : 199
our : 198
truly : 197
though : 197
i : 196
A : 194
young : 193
fan : 193
last : 191
work : 190
far : 190
pretty : 189
I've : 188
whole : 187
yet : 187
interesting : 186
thing : 186
probably : 185
thought : 185
original : 184
actor : 183
found : 180
hard : 180
left : 178
between : 177
excellent : 174
everything : 174
second : 172
done : 170
old : 169
